model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
21,[16],2048,1e-05,30,False,False,False,11,2.027127504348755,2701.0,597299.0,0.0,0.0,0.004501666873693466,0.004501666873693466,1.0,0.07319268584251404,0.0023231809027493,2.027249574661255,946.0,199054.0,0.0,0.0,0.004730000160634518,0.004730000160634518,1.0,0.06852640211582184,0.0024337037466466427
22,[16],2048,1e-05,50,False,False,False,11,0.729513943195343,190.0,338431.0,258868.0,2511.0,0.43176332116127014,0.0005610992666333914,0.07034431397914886,0.33242374658584595,0.003202881198376417,0.7291042804718018,66.0,112307.0,86747.0,880.0,0.4340650141239166,0.0005873296759091318,0.06976744532585144,0.3318464756011963,0.0033688098192214966
23,[16],2048,1e-05,100,False,False,False,11,1.7387133836746216,2700.0,559489.0,37810.0,1.0,0.06751666963100433,0.004802655428647995,0.9996297955513,0.5728464722633362,0.004893920850008726,1.7383843660354614,945.0,186591.0,12463.0,1.0,0.06703999638557434,0.005039032548666,0.9989429116249084,0.5715680122375488,0.005140288732945919
24,[16],2048,1e-07,30,False,False,False,12,0.16374307870864868,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.3949989676475525,0.003484325483441353,0.16422408819198608,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.3996111750602722,0.0036857263185083866
25,[16],2048,1e-07,50,False,False,False,12,1.1299657821655273,2701.0,597049.0,250.0,0.0,0.004918333142995834,0.004503543023020029,1.0,0.8651140332221985,0.014913149178028107,1.1302177906036377,946.0,198981.0,73.0,0.0,0.00509499991312623,0.004731727298349142,1.0,0.8629621863365173,0.015509871765971184
26,[16],2048,1e-07,100,False,False,False,11,0.649690568447113,2172.0,218507.0,378792.0,529.0,0.6349400281906128,0.009842350147664547,0.8041465878486633,0.7619369029998779,0.010926008224487305,0.6495206952095032,784.0,72466.0,126588.0,162.0,0.6368600130081177,0.01070307195186615,0.8287526369094849,0.7772575616836548,0.012296032160520554
27,"[16, 32, 16]",128,0.001,30,False,False,False,30,0.006969064008444548,1562.0,536.0,596763.0,1139.0,0.9972083568572998,0.7445185780525208,0.5783043503761292,0.9902812242507935,0.7328599691390991,0.007231487426906824,572.0,193.0,198861.0,374.0,0.9971650242805481,0.7477124333381653,0.604651153087616,0.9887032508850098,0.7332918047904968
28,"[16, 32, 16]",128,0.001,50,False,False,False,36,0.006830222904682159,1661.0,490.0,596809.0,1040.0,0.9974499940872192,0.7721989750862122,0.6149574518203735,0.9927077293395996,0.7500239610671997,0.007292707450687885,612.0,215.0,198839.0,334.0,0.9972550272941589,0.740024209022522,0.646934449672699,0.9907566905021667,0.7494091391563416
29,"[16, 32, 16]",128,0.001,100,False,False,False,55,0.006681913044303656,1399.0,307.0,596992.0,1302.0,0.9973183274269104,0.8200469017028809,0.5179563164710999,0.992123544216156,0.759242594242096,0.006991188507527113,520.0,129.0,198925.0,426.0,0.9972249865531921,0.801232635974884,0.5496828556060791,0.9909098148345947,0.7565624117851257
30,"[16, 32, 16]",128,1e-05,30,False,False,False,30,0.0100403418764472,927.0,252.0,597047.0,1774.0,0.9966233372688293,0.7862595319747925,0.3432062268257141,0.9822296500205994,0.6195372939109802,0.010517165064811707,335.0,98.0,198956.0,611.0,0.9964550137519836,0.7736720442771912,0.3541226089000702,0.982224702835083,0.6174069046974182
31,"[16, 32, 16]",128,1e-05,50,False,False,False,50,0.009234116412699223,1157.0,391.0,596908.0,1544.0,0.9967749714851379,0.7474160194396973,0.42835986614227295,0.9812904000282288,0.6359205842018127,0.0096999891102314,393.0,141.0,198913.0,553.0,0.9965299963951111,0.7359550595283508,0.415433406829834,0.980520486831665,0.6440397500991821
32,"[16, 32, 16]",128,1e-05,100,False,False,False,100,0.00820079818367958,1214.0,317.0,596982.0,1487.0,0.996993362903595,0.7929458022117615,0.4494631588459015,0.986496090888977,0.6835590600967407,0.008732365444302559,443.0,137.0,198917.0,503.0,0.9968000054359436,0.7637931108474731,0.46828752756118774,0.9827561974525452,0.6819809079170227
